Locator2,CollectDate,Month,Depth,ParmName,Units,Value,Mdl
814,22-11-82,11,A,Alkalinity,mg CaCO3/L,35,
814,07-12-82,12,A,Alkalinity,mg CaCO3/L,36,
814,20-12-82,12,A,Alkalinity,mg CaCO3/L,32,
814,17-01-83,1,A,Alkalinity,mg CaCO3/L,34,
814,08-02-83,2,A,Alkalinity,mg CaCO3/L,33,
814,22-02-83,2,A,Alkalinity,mg CaCO3/L,39,
814,07-03-83,3,A,Alkalinity,mg CaCO3/L,38,
814,21-03-83,3,A,Alkalinity,mg CaCO3/L,33,
814,24-05-84,5,A,Alkalinity,mg CaCO3/L,34,
814,25-09-84,9,A,Alkalinity,mg CaCO3/L,34,
814,04-12-84,12,A,Alkalinity,mg CaCO3/L,33,
814,19-02-85,2,A,Alkalinity,mg CaCO3/L,31,
814,21-05-85,5,A,Alkalinity,mg CaCO3/L,34,
814,20-08-85,8,A,Alkalinity,mg CaCO3/L,33,
814,13-11-85,11,A,Alkalinity,mg CaCO3/L,35,
814,24-02-86,2,A,Alkalinity,mg CaCO3/L,31,
814,20-05-86,5,A,Alkalinity,mg CaCO3/L,28,
814,05-08-86,8,A,Alkalinity,mg CaCO3/L,35,
814,03-11-86,11,A,Alkalinity,mg CaCO3/L,36,
814,03-02-87,2,A,Alkalinity,mg CaCO3/L,35,
814,05-05-87,5,A,Alkalinity,mg CaCO3/L,31,
814,04-08-87,8,A,Alkalinity,mg CaCO3/L,36,
814,03-11-87,11,A,Alkalinity,mg CaCO3/L,37,
814,02-02-88,2,A,Alkalinity,mg CaCO3/L,36,
814,17-05-88,5,A,Alkalinity,mg CaCO3/L,35,
814,02-08-88,8,A,Alkalinity,mg CaCO3/L,36,
814,29-11-88,11,A,Alkalinity,mg CaCO3/L,36,
814,09-05-89,5,A,Alkalinity,mg CaCO3/L,35,
814,10-10-89,10,A,Alkalinity,mg CaCO3/L,39,
814,02-01-90,1,A,Alkalinity,mg CaCO3/L,37,
814,05-03-90,3,A,Alkalinity,mg CaCO3/L,35,
814,10-07-90,7,A,Alkalinity,mg CaCO3/L,34,
814,09-10-90,10,A,Alkalinity,mg CaCO3/L,37,
814,08-01-91,1,A,Alkalinity,mg CaCO3/L,34,
814,01-04-91,4,A,Alkalinity,mg CaCO3/L,32,
814,01-07-91,7,A,Alkalinity,mg CaCO3/L,35,
814,07-10-91,10,A,Alkalinity,mg CaCO3/L,38,
814,07-01-92,1,A,Alkalinity,mg CaCO3/L,38,
814,06-04-92,4,A,Alkalinity,mg CaCO3/L,36,
814,05-10-92,10,A,Alkalinity,mg CaCO3/L,40,
814,04-01-93,1,A,Alkalinity,mg CaCO3/L,35,0.2
814,05-04-93,4,A,Alkalinity,mg CaCO3/L,38,0.2
814,06-07-93,7,A,Alkalinity,mg CaCO3/L,38,0.2
